"ident","source","context","max_length","it","uk"
"ident1","source1","context","20","","source1"
"ident2","source2","context","20","","source2"
"ident3","source3","context","20","","джерело3"
"ident4","source4","context","20","","джерело4"
"ident5","source5","context","20","","джерело5"
"ident6","source6","context","20","","джерело6"
"ident7","source7","context","20","","source7"
"ident8","source8","context","20","","джерело8"
"ident9","source9","context","20","","джерело9"
"ident10","source10","context","20","","source10"
"ident11","source11","context","20","","source11"
"ident12","source12","context","20","","джерело12"
"ident13","source13","context","20","","джерело13"
"ident14","source14","context","20","","джерело14"
"ident15","source15","context","20","","джерело15"
"ident16","source16","context","20","","source16"
"ident17","source17","context","20","","source17"
"ident18","source18","context","20","","source18"
"ident19","source19","context","20","","source19"
"ident20","source20","context","10","","source20"
